Date,Open,High,Low,Close,Volume,Adj Close
2014-11-17,15.184,15.29,15.184,15.19,0,15.19
2014-11-18,15.317,15.317,15.287,15.338,0,15.338
2014-11-19,15.285,15.285,14.956,15.287,0,15.287
2014-11-20,14.96,14.961,14.96,14.956,0,14.956
2014-11-21,14.947,14.949000000000002,14.933,14.951,0,14.951
2014-11-24,15.013,15.013,14.858,14.949000000000002,0,14.949000000000002
2014-11-25,14.832,14.862,14.832,14.823,0,14.823
2014-11-26,14.807,14.851,14.807,14.815,0,14.815
2014-11-27,14.804,14.856,14.804,14.799,0,14.799
2014-11-28,14.896,14.896,14.769,14.877,0,14.877
2014-12-01,14.827,14.827,14.805,14.809,0,14.809
2014-12-02,14.799,14.865,14.799,14.805,0,14.805
2014-12-03,14.929,14.929,14.91,14.932,0,14.932
2014-12-04,14.921,14.921,14.8,14.91,0,14.91
2014-12-05,14.708,15.101,14.708,14.8,0,14.8
2014-12-08,15.167,15.405,15.167,15.101,0,15.101
2014-12-09,15.356,15.356,15.308,15.405,0,15.405
2014-12-10,15.287,15.382,15.287,15.308,0,15.308
2014-12-11,15.233,15.465,15.233,15.382,0,15.382
2014-12-12,15.54,15.54,15.483,15.465,0,15.465
2014-12-15,15.48,15.513,15.48,15.483,0,15.483
2014-12-16,15.5,15.567,15.5,15.513,0,15.513
2014-12-17,15.618,15.618,15.58,15.567,0,15.567
2014-12-18,15.735,15.735,15.595999999999998,15.58,0,15.58
2014-12-19,15.632,15.632,15.573,15.595999999999998,0,15.595999999999998
2014-12-22,15.619000000000002,15.619000000000002,15.569,15.573,0,15.573
2014-12-23,15.616,15.668,15.616,15.569,0,15.569
2014-12-24,15.712,15.712,15.466,15.668,0,15.668
2014-12-25,15.712,15.712,15.466,15.668,0,15.668
2014-12-26,15.712,15.712,15.466,15.668,0,15.668
2014-12-29,15.483,15.571,15.479,15.466,0,15.466
2014-12-30,15.615,15.615,15.587,15.571,0,15.571
2014-12-31,15.582,15.582,15.573,15.587,0,15.587
2015-01-01,15.645,15.645,15.645,15.573,0,15.573
2015-01-02,15.685,15.685,15.573,15.645,0,15.645
2015-01-05,15.691,15.691,15.563,15.573,0,15.573
2015-01-06,15.519,15.564,15.519,15.563,0,15.563
2015-01-07,15.592,15.592,15.562,15.564,0,15.564
2015-01-08,15.555,15.585,15.555,15.562,0,15.562
2015-01-09,15.544,15.545,15.544,15.585,0,15.585
2015-01-12,15.478,15.555,15.478,15.545,0,15.545
2015-01-13,15.488,15.550999999999998,15.488,15.555,0,15.555
2015-01-14,15.585,15.585,15.36,15.550999999999998,0,15.550999999999998
2015-01-15,15.336,15.568,15.336,15.36,0,15.36
2015-01-16,15.661,15.661,15.562,15.568,0,15.568
2015-01-19,15.601,15.601,15.577,15.562,0,15.562
2015-01-20,15.593,15.593,15.591,15.577,0,15.577
2015-01-21,15.637,15.637,15.564,15.591,0,15.591
2015-01-22,15.527,15.571,15.527,15.564,0,15.564
2015-01-23,15.942,15.942,15.627,15.571,0,15.571
2015-01-26,15.539,15.539,15.352,15.497,0,15.497
2015-01-27,15.338,15.349,15.338,15.352,0,15.352
2015-01-28,15.265999999999998,15.592,15.265999999999998,15.349,0,15.349
2015-01-29,15.691,15.691,15.654000000000002,15.592,0,15.592
2015-01-30,15.63,15.643,15.63,15.657,0,15.657
2015-02-02,15.682,15.823,15.682,15.722,0,15.722
2015-02-03,15.799,15.913,15.799,15.823,0,15.823
2015-02-04,15.764,16.081,15.764,15.913,0,15.913
2015-02-05,16.211,24.224,16.211,16.081,0,16.081
2015-02-06,24.139,24.139,18.98,24.224,0,24.224
2015-02-09,19.197,24.718000000000004,19.197,18.98,0,18.98
2015-02-10,24.686,24.721,24.686,24.718000000000004,0,24.718000000000004
2015-02-11,24.634,25.712,24.634,24.721,0,24.721
2015-02-12,25.713,26.417,25.713,25.712,0,25.712
2015-02-13,26.288,26.288,25.445,26.38,0,26.38
2015-02-16,25.457,26.136,25.457,25.445,0,25.445
2015-02-17,26.332,26.332,26.166,26.136,0,26.136
2015-02-18,26.22,26.828000000000007,26.22,26.166,0,26.166
2015-02-19,26.768,26.946,26.768,26.828000000000007,0,26.828000000000007
2015-02-20,27.013,27.705,27.013,26.946,0,26.946
2015-02-23,27.601,27.734,27.601,27.705,0,27.705
2015-02-24,27.671,32.222,27.671,27.734,0,27.734
2015-02-25,32.157,32.157,24.233,32.222,0,32.222
2015-02-26,24.196,33.499,24.196,24.233,0,24.233
2015-02-27,33.901,33.901,26.973000000000006,33.499,0,33.499
2015-03-02,27.115,27.115,26.23,26.973000000000006,0,26.973000000000006
2015-03-03,26.331,26.331,23.978,26.23,0,26.23
2015-03-04,23.932,23.932,22.225,23.978,0,23.978
2015-03-05,22.331,22.73,22.331,22.225,0,22.225
2015-03-06,22.791,22.791,22.459,22.73,0,22.73
2015-03-09,22.666,22.666,22.469,22.459,0,22.459
2015-03-10,22.53,22.53,21.202,22.469,0,22.469
2015-03-11,21.277,21.713,21.277,21.202,0,21.202
2015-03-12,21.819000000000006,21.819000000000006,21.326,21.713,0,21.713
2015-03-13,21.373,21.379,21.366,21.326,0,21.326
2015-03-16,21.519,21.604,21.473000000000006,21.366,0,21.366
2015-03-17,21.542,21.542,21.51,21.604,0,21.604
2015-03-18,21.564,23.346,21.564,21.51,0,21.51
2015-03-19,22.729,23.106,22.729,23.346,0,23.346
2015-03-20,23.15,23.15,21.675,23.106,0,23.106
2015-03-23,21.539,21.546,21.539,21.675,0,21.675
2015-03-24,21.455,21.497,21.455,21.546,0,21.546
2015-03-25,21.455,21.497,21.455,21.546,0,21.546
2015-03-26,23.372,23.372,23.121,21.493,0,21.493
2015-03-27,23.34,23.34,23.162,23.121,0,23.121
2015-03-30,23.167,23.167,23.119,23.162,0,23.162
2015-03-31,23.145,23.164,23.145,23.119,0,23.119
2015-04-01,23.166,23.166,23.166,23.174,0,23.174
2015-04-02,23.142,23.21,23.142,23.166,0,23.166
2015-04-03,23.117,23.117,23.117,23.109,0,23.109
2015-04-06,22.866,22.902,22.859,23.117,0,23.117
2015-04-07,22.968000000000004,23.257,22.968000000000004,22.902,0,22.902
2015-04-08,23.335,23.335,23.252,23.257,0,23.257
2015-04-09,23.433000000000003,23.433000000000003,23.058000000000003,23.252,0,23.252
2015-04-10,23.279,23.279,22.255,23.058000000000003,0,23.058000000000003
2015-04-13,22.198,22.264,22.198,22.255,0,22.255
2015-04-14,22.162,22.523000000000003,22.162,22.264,0,22.264
2015-04-15,22.37,22.37,20.95,22.523000000000003,0,22.523000000000003
2015-04-16,20.778,20.778,20.659,20.95,0,20.95
2015-04-17,20.686,20.686,20.686,20.566,0,20.566
2015-04-20,22.556,22.556,22.556,20.698,0,20.698
2015-04-21,22.53,22.53,22.271,22.556,0,22.556
2015-04-22,22.152,22.332,22.152,22.271,0,22.271
2015-04-23,22.416,22.416,22.218000000000004,22.332,0,22.332
2015-04-24,22.077,22.504,22.077,22.218000000000004,0,22.218000000000004
2015-04-27,22.694000000000006,22.694000000000006,22.694000000000006,22.409,0,22.409
2015-04-28,22.615,22.615,22.338,22.694000000000006,0,22.694000000000006
2015-04-29,22.27,22.27,21.998,22.338,0,22.338
2015-04-30,21.759,21.759,20.836,21.998,0,21.998
2015-05-01,20.8,20.8,20.78,20.836,0,20.836
2015-05-04,20.841,20.966,20.841,20.78,0,20.78
2015-05-05,20.956,20.956,20.626,20.966,0,20.966
2015-05-06,20.526,20.726,20.526,20.626,0,20.626
2015-05-07,20.536,20.536,20.285,20.726,0,20.726
2015-05-08,20.431,20.431,20.211,20.285,0,20.285
2015-05-11,20.245,20.719,20.245,20.211,0,20.211
2015-05-12,20.748,20.748,20.446,20.719,0,20.719
2015-05-13,20.501,20.501,20.429,20.446,0,20.446
2015-05-14,20.211,20.261,20.211,20.429,0,20.429
2015-05-15,20.287,20.734,20.287,20.261,0,20.261
2015-05-18,20.594,21.996,20.579,20.734,0,20.734
2015-05-19,22.168000000000006,22.168000000000006,20.863000000000003,21.996,0,21.996
2015-05-20,20.983,20.983,20.456,20.863000000000003,0,20.863000000000003
2015-05-21,20.454,20.487,20.454,20.456,0,20.456
2015-05-22,20.585,20.585,20.487,20.487,0,20.487
2015-05-25,20.845,20.845,20.47,20.487,0,20.487
2015-05-26,20.485,21.264,20.485,20.47,0,20.47
2015-05-27,21.325,21.325,21.264,21.264,0,21.264
2015-05-28,21.246,21.246,20.964,21.264,0,21.264
2015-05-29,20.898000000000003,20.898000000000003,20.817,20.964,0,20.964
2015-06-01,20.827,20.841,20.773000000000003,20.817,0,20.817
2015-06-02,20.77,20.77,20.701,20.773000000000003,0,20.773000000000003
2015-06-03,20.493,20.682,20.493,20.701,0,20.701
2015-06-04,20.422,20.792,20.422,20.682,0,20.682
2015-06-05,21.043000000000006,21.043000000000006,20.757,20.792,0,20.792
2015-06-08,20.99,21.009,20.844,20.757,0,20.757
2015-06-09,20.589,20.924,20.589,20.844,0,20.844
2015-06-10,20.888,20.888,20.806,20.924,0,20.924
2015-06-11,20.781,20.781,20.762,20.806,0,20.806
2015-06-12,20.802,20.802,20.774,20.762,0,20.762
2015-06-15,20.703000000000007,21.489,20.703000000000007,20.774,0,20.774
2015-06-16,21.379,21.463,21.379,21.489,0,21.489
2015-06-17,21.499,21.499,21.266,21.463,0,21.463
2015-06-18,21.076,21.076,20.873,21.266,0,21.266
2015-06-19,20.933000000000003,21.72,20.933000000000003,20.873,0,20.873
2015-06-22,21.602,21.602,21.465,21.625,0,21.625
2015-06-23,21.504,21.504,21.414,21.465,0,21.465
2015-06-24,21.484,21.484,20.911,21.414,0,21.414
2015-06-25,20.902,20.902,20.882,20.911,0,20.911
2015-06-26,20.871,20.871,20.735,20.882,0,20.882
2015-06-29,21.146,21.146,20.738000000000003,20.743,0,20.743
2015-06-30,20.561,20.742,20.561,20.738000000000003,0,20.738000000000003
2015-07-01,20.822,20.822,20.735,20.742,0,20.742
2015-07-02,20.869,20.869,20.731,20.735,0,20.735
2015-07-03,20.728,20.728,20.728,20.704,0,20.704
2015-07-06,20.889,21.102,20.784,20.728,0,20.728
2015-07-07,21.074,21.256,21.074,21.102,0,21.102
2015-07-08,21.182,21.318,21.182,21.256,0,21.256
2015-07-09,21.218000000000004,21.693,21.206,21.318,0,21.318
2015-07-10,21.667,21.667,21.657,21.693,0,21.693
2015-07-13,21.801,21.801,21.604,21.657,0,21.657
2015-07-14,21.786,21.786,21.761,21.604,0,21.604
2015-07-15,21.817,21.817,21.678,21.761,0,21.761
2015-07-16,21.836,21.836,21.817,21.678,0,21.678
2015-07-17,21.837,22.195,21.837,21.817,0,21.817
2015-07-20,22.307,22.307,21.774,22.306,0,22.306
2015-07-21,21.782,21.782,21.773000000000003,21.774,0,21.774
2015-07-22,21.619,21.802,21.619,21.773000000000003,0,21.773000000000003
2015-07-23,21.799,21.8,21.79,21.802,0,21.802
2015-07-24,21.813,21.835,21.813,21.8,0,21.8
2015-07-27,21.787,21.787,21.78,21.835,0,21.835
2015-07-28,21.753,21.803,21.753,21.78,0,21.78
2015-07-29,21.739,21.795,21.739,21.803,0,21.803
2015-07-30,21.917,21.917,20.822,21.795,0,21.795
2015-07-31,20.861,20.962,20.861,20.822,0,20.822
2015-08-03,20.955,20.973000000000006,20.955,20.962,0,20.962
2015-08-04,21.7,21.7,21.114,20.973000000000006,0,20.973000000000006
2015-08-05,21.309,21.469,21.309,21.114,0,21.114
2015-08-06,21.403,21.403,21.078000000000007,21.393,0,21.393
2015-08-07,21.039,21.039,20.822,21.078000000000007,0,21.078000000000007
2015-08-10,20.777,20.848000000000006,20.755,21.078000000000007,0,21.078000000000007
2015-08-11,20.688,21.28,20.688,20.848000000000006,0,20.848000000000006
2015-08-12,21.262,21.262,21.073,21.28,0,21.28
2015-08-13,21.06,21.321,21.06,21.073,0,21.073
2015-08-14,21.251,21.898000000000003,21.251,21.321,0,21.321
2015-08-17,21.938,21.938,21.536,21.898000000000003,0,21.898000000000003
2015-08-18,21.549,21.828000000000007,21.549,21.536,0,21.536
2015-08-19,21.893,21.893,21.82,21.828000000000007,0,21.828000000000007
2015-08-20,21.918000000000006,21.918000000000006,21.918000000000006,21.665,0,21.665
2015-08-21,21.793000000000006,21.97,21.793000000000006,21.918000000000006,0,21.918000000000006
2015-08-24,21.795,22.276,21.707,21.97,0,21.97
2015-08-25,22.122,22.466,22.122,22.276,0,22.276
2015-08-26,22.373,22.373,20.935,22.466,0,22.466
2015-08-27,21.088,21.088,20.837,20.935,0,20.935
2015-08-28,20.914,20.914,20.91,20.837,0,20.837
2015-08-31,21.035,21.786,21.035,20.91,0,20.91
2015-09-01,21.752,21.752,21.596,21.786,0,21.786
2015-09-02,21.947,21.947,21.947,21.596,0,21.596
2015-09-03,22.026,22.026,21.796,21.947,0,21.947
2015-09-04,21.782,21.782,21.782,21.983,0,21.983
2015-09-07,21.758000000000006,21.758000000000006,21.73,21.782,0,21.782
2015-09-08,21.721,21.92,21.721,21.73,0,21.73
2015-09-09,21.829,21.829,21.783,21.92,0,21.92
2015-09-10,21.642,21.642,21.395,21.783,0,21.783
2015-09-11,21.214,21.541,21.214,21.395,0,21.395
2015-09-14,21.389,21.694000000000006,21.347,21.541,0,21.541
2015-09-15,21.707,21.707,21.676,21.694000000000006,0,21.694000000000006
2015-09-16,21.745,21.745,21.499,21.676,0,21.676
2015-09-17,21.348000000000006,21.348000000000006,21.233,21.499,0,21.499
2015-09-18,21.045,21.58,21.045,21.233,0,21.233
2015-09-21,21.834,21.834,21.436,21.58,0,21.58
2015-09-23,21.453000000000007,21.453000000000007,21.233,21.374,0,21.374
2015-09-24,21.183000000000003,21.183000000000003,21.139,21.233,0,21.233
2015-09-25,21.25,21.543000000000006,21.25,21.139,0,21.139
